Id_cliente,rfm,segment,Value,Id_fila,Id_pedido,Fecha_pedido,Fecha_envio,Forma_envio,Nombre_cliente,Segmento,Ciudad,Estado,Pais,Region,Id_producto,Categoria,Subcategoria,Nombre_producto,Total,Cantidad,Descuento,Ganancia,Semestre
AÁ-10015,543,Loyal Customers,Very Good,6216,MX-2017-111171,2017-02-15T00:00:00Z,2017-02-20T00:00:00Z,Rápido,Abel Ángel,Cliente,Mixco,Guatemala,Guatemala,Centro,MOB-MO-10001856,Mobiliario,Mobiliario,"Tenex Bandeja apiladora, Surtido",505.79999999999995,3,0,111,2017_S1
AÁ-10015,543,Loyal Customers,Very Good,6217,MX-2017-111171,2017-02-15T00:00:00Z,2017-02-20T00:00:00Z,Rápido,Abel Ángel,Cliente,Mixco,Guatemala,Guatemala,Centro,MOB-MO-10003776,Mobiliario,Mobiliario,"Eldon Reloj, Negro",753.6,2,0,301.2,2017_S1
AÁ-10015,543,Loyal Customers,Very Good,6580,MX-2016-127215,2016-11-04T00:00:00Z,2016-11-06T00:00:00Z,Urgente,Abel Ángel,Cliente,Guadalajara,Jalisco,México,Norte,TEC-TE-10000685,Tecnología,Teléfonos,"Apple Teléfono inteligente, Al por mayor",822.6,1,0,180.8,2016_S2
AÁ-10015,543,Loyal Customers,Very Good,572,MX-2019-147655,2019-01-16T00:00:00Z,2019-01-21T00:00:00Z,Rápido,Abel Ángel,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10001932,Tecnología,Accesorios,"SanDisk Router, Programable",3437.9999999999995,2,0,1065.6,2019_S1
AÁ-10015,543,Loyal Customers,Very Good,573,MX-2019-147655,2019-01-16T00:00:00Z,2019-01-21T00:00:00Z,Rápido,Abel Ángel,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10002193,Tecnología,Accesorios,"Belkin Tarjeta de memoria, Blanco",2252.3999999999996,3,0,585.5999999999999,2019_S1
AÁ-10015,543,Loyal Customers,Very Good,7802,US-2018-103450,2018-11-01T00:00:00Z,2018-11-08T00:00:00Z,Estándar,Abel Ángel,Cliente,Monterrey,Nuevo León,México,Norte,MOB-SI-10004862,Mobiliario,Sillas,"Novimex Taburete, Negro",864.1600000000001,1,0.2,-108.04000000000002,2018_S2
AÁ-10015,543,Loyal Customers,Very Good,7803,US-2018-103450,2018-11-01T00:00:00Z,2018-11-08T00:00:00Z,Estándar,Abel Ángel,Cliente,Monterrey,Nuevo León,México,Norte,MAT-GR-10003462,Material de oficina,Grapas,"Stockwell Cintas de goma, Tamaños variados",271.79999999999995,3,0,13.200000000000001,2018_S2
AÁ-10015,543,Loyal Customers,Very Good,4041,MX-2019-127901,2019-12-15T00:00:00Z,2019-12-19T00:00:00Z,Estándar,Abel Ángel,Cliente,Apopa,San Salvador,El Salvador,Centro,MAT-SU-10004453,Material de oficina,Suministros,"Acme Cúter, Azul",1512,6,0,756,2019_S2
AÁ-10015,543,Loyal Customers,Very Good,4042,MX-2019-127901,2019-12-15T00:00:00Z,2019-12-19T00:00:00Z,Estándar,Abel Ángel,Cliente,Apopa,San Salvador,El Salvador,Centro,MOB-SI-10000941,Mobiliario,Sillas,"Novimex Sillón, Rojo",6105.999999999999,2,0,2381.2,2019_S2
AÁ-10015,543,Loyal Customers,Very Good,8888,MX-2018-116197,2018-07-17T00:00:00Z,2018-07-19T00:00:00Z,Rápido,Abel Ángel,Cliente,Gaspar,Santa Catarina,Brasil,Sur,TEC-AC-10002557,Tecnología,Accesorios,"SanDisk Teclado, Programable",3319.2000000000003,6,0,1128,2018_S2
AÁ-10015,543,Loyal Customers,Very Good,8889,MX-2018-116197,2018-07-17T00:00:00Z,2018-07-19T00:00:00Z,Rápido,Abel Ángel,Cliente,Gaspar,Santa Catarina,Brasil,Sur,MAT-SU-10003990,Material de oficina,Suministros,"Fiskars Cúter, Industrial",2476,10,0,617.9999999999999,2018_S2
